Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
LKCGP-P001604-266608-01-04-01-P1	0	0	164	0	0	0	0	0	0	0
LKCGP-P001605-279155-01-01-21-D1	7	0	80	0	0	0	0	0	0	0
LKCGP-P001606-256646-01-01-01-R1	5	0	281	0	0	0	0	0	0	0
LKCGP-P001607-265708-01-06-01-D1	12	0	218	0	0	0	0	0	0	0
LKCGP-P001607-265709-01-06-21-D2	11	0	221	0	0	0	0	0	0	0
LKCGP-P001702-260384-01-06-01-D1	30	0	140	0	0	0	0	0	0	0
LKCGP-P001706-258995-02-06-01-D1	1	0	176	0	0	0	0	0	0	0
LKCGP-P001707-266282-12-02-05-R1	22	0	351	0	0	0	0	0	0	0
LKCGP-P001801-255648-01-02-05-R2	13	0	146	0	0	0	0	0	0	0
LKCGP-P001802-261468-01-01-01-D1	11	0	277	0	0	0	0	0	0	0
LKCGP-P001804-268871-01-03-01-D1	3	0	186	0	0	0	0	0	0	0
LKCGP-P001806-259724-01-04-01-P1	13	0	228	0	0	0	121	0	0	0
LKCGP-P001901-256209-01-01-01-R1	16	0	214	0	0	60	0	0	0	0
LKCGP-P001904-268846-01-01-20-D1	32	0	444	0	0	0	0	0	0	0
LKCGP-P001906-260072-01-04-01-R1	5	0	119	0	0	0	0	0	0	0
